data,descricao,categoria,valor,tipo
2026-04-07 00:00:00.000000,1era quincena,salario,3500.0,entrada
2026-04-07 00:00:00.000000,Aluguel,moradia,1500.0,saida
2026-04-07 00:00:00.000000,Supermercado,alimentacao,1500.0,saida
2026-04-07 00:00:00.000000,Conta de Luz,moradia,660.0,saida
2026-04-07 00:00:00.000000,Escola,Educaçao filhos,1100.0,saida
2026-04-07 00:00:00.000000,Banco, Credito Santander,2400.0,Divida Banco
2026-04-07 00:00:00.000000,cartao loja,Riachuelo,0.0,Divida Loja
2026-04-18 00:00:00.000000,ingreso,renda extra,100.0,entrada
2026-04-29 00:00:00.000000,comida,alimentacao,500.0,saida
2026-04-30 00:00:00.000000,2da quincena 30-04,salario,3500.0,entrada
2026-05-01 00:00:00.000000,comida,alimentacao,500.0,saida
2026-05-01 00:00:00.000000,Robox para investir,lazer,60.0,saida
2026-05-01 00:00:00.000000,planta,alimentacao,15.0,saida
2026-05-01 00:00:00.000000,Robux,lazer,30.0,saida
2026-05-01 00:00:00.000000,lapiz,papeleria,5.0,saida
2026-05-01 00:00:00.000000,borrador,papeleria,10.0,saida
2026-05-01 18:25:01.110501,Pagamento de Divida Loja,Riachuelo,200.0,saida
2026-05-01 19:30:48.409359,Depósito Reserva de Emergência,Reserva de Emergência,500.0,saida
